,FirstName,LastName,Position,Age,OverallRating,TraitDevelopment,ContractStatus,Motivation3,Motivation2,Motivation1,OriginalHitPowerRating,OriginalJumpingRating,AgilityRating,AccelerationRating,OriginalKickAccuracyRating,OriginalKickPowerRating,BreakSackRating,BlockSheddingRating,BCVisionRating,AwarenessRating,CatchInTrafficRating,CatchingRating,CarryingRating,BreakTackleRating,DeepRouteRunningRating,ConfidenceRating,ChangeOfDirectionRating,ImpactBlockingRating,HitPowerRating,Height,FinesseMovesRating,JukeMoveRating,InjuryRating,KickReturnRating,KickPowerRating,KickAccuracyRating,JumpingRating,MediumRouteRunningRating,ManCoverageRating,LongSnapRating,LeadBlockRating,PressRating,PowerMovesRating,RunBlockPowerRating,RunBlockFinesseRating,ReleaseRating,PursuitRating,SpeedRating,SpectacularCatchRating,ShortRouteRunningRating,RunBlockRating,StrengthRating,StiffArmRating,StaminaRating,SpinMoveRating,ThrowAccuracyRating,ThrowAccuracyMidRating,ThrowAccuracyDeepRating,TackleRating,ThrowUnderPressureRating,ThrowPowerRating,ThrowOnTheRunRating,ThrowAccuracyShortRating,ZoneCoverageRating,TruckingRating,ToughnessRating,PlayActionRating,PassBlockFinesseRating,PassBlockPowerRating,PassBlockRating,Player,IsVisible,ProDayThreeConeDrill,ProDayTwentyYardShuttle,ProDayVerticalJump,CombineTwentyYardShuttle,CombineVerticalJump,ProDayFortyYardDash,CombineFortyYardDash,CombineOverallGrade,CombineThreeConeDrill,ProDayBroadJump,InitialDraftRank,TrueOverallRanking,CombineBenchPress,ProDayBenchPress,ProductionGrade,CombineBroadJump
131,Tyler,Franklin,CB,22,79,Superstar,Draft,MentoratPosition,BigMarket,WarmWeatherState,66,86,90,93,42,38,27,52,67,77,28,59,59,43,34,50,93,42,66,73,34,83,84,65,38,42,86,40,76,0,41,70,26,27,26,44,72,91,46,29,46,67,27,96,80,37,20,17,66,40,18,12,23,84,47,81,41,37,28,34,1420,True,0,0,0,0,0,0,0,0,0,0,1,0,0,0,89,0
318,Zaire,Boothe,RT,21,74,Star,Draft,WarmWeatherState,MentoratPosition,SchemeFit,27,79,72,85,37,28,47,39,24,78,29,45,57,25,42,48,54,82,27,76,41,48,79,26,28,37,79,45,32,0,83,38,45,68,79,41,47,75,33,31,76,84,26,80,40,27,37,22,27,42,12,19,35,41,43,83,29,78,69,75,3174,True,0,0,0,0,0,0,0,0,0,0,2,25,0,0,80,0
237,Connor,Bates,LOLB,22,72,Star,Draft,HighestOffer,TeamHasFranchiseQB,HeadCoachHistoricRecord,84,81,84,88,32,47,44,77,42,73,38,33,54,30,30,56,69,82,84,75,63,33,82,42,47,32,81,42,50,0,43,39,77,44,28,38,82,81,29,27,28,78,48,96,40,20,23,15,74,30,27,36,24,43,24,82,41,46,36,27,2583,True,0,0,0,0,0,0,0,0,0,0,3,59,0,0,93,0
118,Brandon,Lindholm,QB,22,73,Star,Draft,NoIncomeTax,HighestOffer,TeamPrestige,42,71,86,88,42,37,84,33,69,76,43,36,59,63,35,56,91,29,42,76,42,81,79,38,37,42,71,30,28,0,29,31,29,38,30,41,46,82,42,45,43,75,56,93,64,21,75,80,30,77,92,86,82,38,56,78,80,39,27,48,1255,True,0,0,0,0,0,0,0,0,0,0,4,41,0,0,49,0
17,Cedric,Williams,LT,22,73,Normal,Draft,BigMarket,HighestOffer,TeamPrestige,26,60,70,76,26,41,47,32,47,78,39,48,59,43,44,48,56,79,26,78,33,30,93,45,41,26,60,34,37,0,87,35,35,75,67,42,25,65,28,40,75,90,40,80,27,19,13,33,30,25,18,17,20,25,37,85,37,69,79,74,179,True,0,0,0,0,0,0,0,0,0,0,5,33,0,0,80,0
67,Marcus,McClain,RE,21,75,Normal,Draft,TeamHasFranchiseQB,MentoratPosition,SchemeFit,74,79,82,87,47,28,35,67,41,67,44,35,56,35,27,51,68,81,74,77,81,36,91,24,28,47,79,34,45,0,48,43,62,36,38,41,81,84,39,44,34,84,44,73,43,34,19,18,77,44,21,28,22,50,41,84,25,31,28,48,686,True,0,0,0,0,0,0,0,0,0,0,6,6,0,0,93,0
84,Pat,Nicholson,ROLB,21,73,Normal,Draft,CloseToHome,SchemeFit,NoIncomeTax,76,83,82,88,39,37,27,67,44,74,27,42,54,40,29,54,74,78,76,77,77,39,81,45,37,39,82,42,49,0,40,42,69,43,45,48,83,82,45,41,25,76,32,76,46,32,27,33,75,39,13,17,24,40,29,77,39,33,27,43,901,True,0,0,0,0,0,0,0,0,0,0,7,42,0,0,65,0
166,Zach,Bullard,LE,22,74,Normal,Draft,NoIncomeTax,SchemeFit,TeamPrestige,86,64,73,86,41,32,29,76,36,70,27,41,56,26,42,53,62,80,86,78,65,42,98,34,32,41,64,40,29,0,29,27,72,36,42,47,78,73,37,40,34,91,37,81,31,29,29,18,82,32,16,34,28,24,46,83,38,40,30,48,1832,True,0,0,0,0,0,0,0,0,0,0,8,23,0,0,99,0
108,Kiante,Royster,DT,22,74,Star,Draft,TeamPrestige,MentoratPosition,TeamHasFranchiseQB,78,74,74,82,24,33,47,75,44,69,39,41,54,28,43,42,60,85,78,74,63,27,91,44,33,24,74,39,24,0,31,48,75,48,44,43,74,74,38,28,38,94,47,83,37,14,17,29,76,38,33,11,32,28,37,83,30,31,31,44,1169,True,0,0,0,0,0,0,0,0,0,0,9,24,0,0,82,0
162,Chance,Brooks,LG,23,70,Star,Draft,ChampionshipContender,NoIncomeTax,CloseToHome,38,68,68,79,31,26,28,37,26,67,37,26,50,47,29,58,59,84,38,75,26,35,94,36,26,31,68,44,33,0,76,29,31,77,65,48,25,70,39,31,74,88,24,85,38,28,18,20,31,35,35,23,17,26,33,84,37,66,72,73,1783,True,0,0,0,0,0,0,0,0,0,0,10,81,0,0,84,0
