,FirstName,LastName,College,Position,Age,Height,Weight,OverallRating,TraitDevelopment,ContractStatus,Motivation3,Motivation2,Motivation1,OriginalHitPowerRating,OriginalJumpingRating,AgilityRating,AccelerationRating,OriginalKickAccuracyRating,OriginalKickPowerRating,BreakSackRating,BlockSheddingRating,BCVisionRating,AwarenessRating,CatchInTrafficRating,CatchingRating,CarryingRating,BreakTackleRating,DeepRouteRunningRating,ConfidenceRating,ChangeOfDirectionRating,ImpactBlockingRating,HitPowerRating,Height,FinesseMovesRating,JukeMoveRating,InjuryRating,KickReturnRating,KickPowerRating,KickAccuracyRating,JumpingRating,MediumRouteRunningRating,ManCoverageRating,LongSnapRating,LeadBlockRating,PressRating,PowerMovesRating,RunBlockPowerRating,RunBlockFinesseRating,ReleaseRating,PursuitRating,SpeedRating,SpectacularCatchRating,ShortRouteRunningRating,RunBlockRating,StrengthRating,StiffArmRating,StaminaRating,SpinMoveRating,ThrowAccuracyRating,ThrowAccuracyMidRating,ThrowAccuracyDeepRating,TackleRating,ThrowUnderPressureRating,ThrowPowerRating,ThrowOnTheRunRating,ThrowAccuracyShortRating,ZoneCoverageRating,TruckingRating,ToughnessRating,PlayActionRating,PassBlockFinesseRating,PassBlockPowerRating,PassBlockRating,Player,IsVisible,ProDayThreeConeDrill,ProDayTwentyYardShuttle,ProDayVerticalJump,CombineTwentyYardShuttle,CombineVerticalJump,ProDayFortyYardDash,CombineFortyYardDash,CombineOverallGrade,CombineThreeConeDrill,ProDayBroadJump,InitialDraftRank,TrueOverallRanking,CombineBenchPress,ProDayBenchPress,ProductionGrade,CombineBroadJump
339,Lloyd,Alexander,Oklahoma,DT,21,78,299,78,XFactor,Draft,TeamPrestige,MentoratPosition,CloseToHome,97,73,77,88,35,34,32,78,36,76,34,41,59,28,29,41,63,80,97,78,73,31,78,44,34,35,73,33,34,0,40,39,81,27,47,48,80,83,44,48,35,86,31,88,29,37,12,30,82,43,15,26,30,36,39,82,30,48,42,31,2436,TRUE,0,0,0,0,0,0,0,0,0,0,1,1,0,0,88,0
383,Channing,Kemp,W. Kentucky,QB,21,74,231,73,Star,Draft,WarmWeatherState,SchemeFit,TeamPrestige,28,67,76,82,28,31,62,36,65,76,31,40,63,61,31,52,78,24,28,74,37,47,88,28,31,28,67,24,27,0,46,32,45,30,40,44,25,76,43,27,42,63,42,78,47,17,83,76,46,72,92,76,85,45,62,84,76,31,40,43,2828,TRUE,0,0,0,0,0,0,0,0,0,0,2,54,0,0,86,0
273,Maurice,Branch,Florida State,LOLB,23,76,260,74,Normal,Draft,TeamPrestige,WarmWeatherState,BigMarket,80,81,77,84,34,31,43,76,30,76,37,43,51,45,32,53,67,80,80,76,63,25,85,43,31,34,81,47,46,0,28,30,81,32,41,38,82,80,29,48,39,83,31,86,24,33,31,16,75,46,32,16,13,49,33,85,31,24,38,27,1958,TRUE,0,0,0,0,0,0,0,0,0,0,3,41,0,0,81,0
285,Tim,Wilson,UCF,LT,21,76,310,74,Normal,Draft,TeamPrestige,HeadCoachHistoricRecord,ChampionshipContender,31,76,71,85,25,32,36,33,46,78,30,26,55,28,40,48,53,88,31,76,40,25,93,47,32,25,76,36,34,0,90,45,28,67,81,45,30,74,40,33,72,86,27,79,46,25,23,19,24,45,19,32,33,36,44,86,26,77,69,69,1995,TRUE,0,0,0,0,0,0,0,0,0,0,4,40,0,0,94,0
288,Austin,Duval,LSU,LE,22,75,269,74,Star,Draft,HighestOffer,TeamHasFranchiseQB,HeadCoachHistoricRecord,75,84,78,88,30,38,26,70,44,70,33,37,57,43,37,52,71,78,75,75,60,47,91,24,38,30,84,47,27,0,27,26,74,40,46,43,76,82,24,25,41,89,41,85,31,11,24,23,81,46,18,32,19,40,41,81,48,25,37,27,2012,TRUE,0,0,0,0,0,0,0,0,0,0,5,39,0,0,82,0
371,Jaleel,Rivers,USC,RT,21,79,321,71,Normal,Draft,NoIncomeTax,WarmWeatherState,HeadCoachHistoricRecord,30,62,69,78,24,25,27,43,44,76,32,28,57,48,35,56,60,83,30,79,34,33,83,25,25,24,62,32,40,0,79,29,24,75,64,49,47,68,37,30,74,86,46,85,36,36,11,11,32,47,14,35,11,45,31,83,31,68,75,76,2711,TRUE,0,0,0,0,0,0,0,0,0,0,6,79,0,0,89,0
345,Richard,Davis,UCF,RE,22,74,264,75,Star,Draft,TeamPrestige,MentoratPosition,NoIncomeTax,75,80,80,87,40,32,42,65,48,72,24,35,57,25,32,53,68,76,75,74,81,28,92,47,32,40,80,38,43,0,24,33,66,26,27,46,80,81,33,28,43,84,44,92,33,24,20,26,79,40,17,25,11,51,26,80,37,43,31,26,2493,TRUE,0,0,0,0,0,0,0,0,0,0,7,10,0,0,87,0
46,Terrell,Ramsay,North Texas,QB,22,74,221,73,Normal,Draft,SchemeFit,WarmWeatherState,CloseToHome,27,68,87,87,43,36,81,40,64,78,33,25,62,64,35,42,86,37,27,74,46,71,81,29,36,43,68,45,32,0,43,48,32,28,26,45,44,82,29,31,36,72,38,81,66,17,78,80,42,79,90,84,82,30,54,80,76,27,39,47,336,TRUE,0,0,0,0,0,0,0,0,0,0,8,52,0,0,88,0
322,Paul,Curry,Georgia,RT,21,79,339,71,Star,Draft,TeamPrestige,NoIncomeTax,SchemeFit,39,65,68,77,31,36,24,35,40,77,24,47,50,42,37,58,55,79,39,79,35,37,82,26,36,31,65,43,32,0,83,41,45,76,65,46,28,70,47,46,72,86,46,95,43,35,17,28,43,27,16,11,22,41,36,84,26,72,75,74,2323,TRUE,0,0,0,0,0,0,0,0,0,0,9,82,0,0,83,0
416,Archer,Jackson,Michigan State,LOLB,21,76,257,75,Star,Draft,BigMarket,TeamHasFranchiseQB,MentoratPosition,78,86,82,91,35,48,32,74,43,76,41,27,52,36,27,40,75,69,78,76,78,35,93,29,48,35,86,25,49,0,43,27,64,34,41,38,81,85,46,41,42,78,36,94,42,27,20,34,74,30,16,36,27,52,30,79,48,47,47,45,3087,TRUE,0,0,0,0,0,0,0,0,0,0,10,11,0,0,92,0
327,Damien,O'Neal,Wake Forest,RE,21,75,269,74,Star,Draft,MentoratPosition,ChampionshipContender,TeamHasFranchiseQB,76,81,78,87,42,26,46,66,44,69,31,46,52,44,27,48,74,74,76,75,78,31,82,26,26,42,81,25,45,0,45,38,59,46,28,42,75,86,27,33,26,81,34,76,29,30,10,17,80,29,16,21,10,44,34,80,34,32,43,36,2344,TRUE,0,0,0,0,0,0,0,0,0,0,11,37,0,0,89,0
26,Marvin,Blanton,Syracuse,RE,23,77,267,74,Star,Draft,ChampionshipContender,HighestOffer,SchemeFit,72,79,81,85,47,28,37,66,30,73,25,40,53,32,28,43,68,79,72,77,80,26,97,39,28,47,79,42,48,0,29,28,62,39,41,43,78,83,26,29,39,86,32,86,30,15,36,19,76,35,31,27,31,54,25,81,30,34,31,42,207,TRUE,0,0,0,0,0,0,0,0,0,0,12,36,0,0,83,0
278,Andrew,Rainey,Clemson,ROLB,21,74,262,73,Normal,Draft,CloseToHome,NoIncomeTax,TeamPrestige,75,80,76,87,35,24,48,76,40,72,42,43,54,43,39,50,69,84,75,74,67,35,81,28,24,35,80,47,48,0,44,36,79,38,42,49,80,83,38,48,46,79,33,91,44,31,25,15,79,31,21,19,30,50,29,84,26,41,41,46,1970,TRUE,0,0,0,0,0,0,0,0,0,0,13,51,0,0,90,0
406,James,Harris,Notre Dame,ROLB,22,77,253,72,XFactor,Draft,NoIncomeTax,HighestOffer,HeadCoachHistoricRecord,79,82,80,86,40,45,45,77,28,75,41,36,55,37,40,44,69,75,79,77,69,44,86,26,45,40,82,33,46,0,36,28,78,30,46,48,79,80,44,28,35,79,45,94,24,20,28,36,79,41,16,20,28,46,40,80,45,40,40,43,2997,TRUE,0,0,0,0,0,0,0,0,0,0,14,64,0,0,82,0
132,Shon,Thomas,Oregon,LT,22,77,317,72,Star,Draft,HighestOffer,NoIncomeTax,ChampionshipContender,48,73,74,75,24,44,47,44,32,76,36,26,58,42,45,46,55,74,48,77,46,33,97,32,44,24,73,43,36,0,77,37,41,67,66,48,32,69,25,40,69,80,25,82,43,12,14,37,44,39,15,37,25,41,28,78,36,80,78,81,936,TRUE,0,0,0,0,0,0,0,0,0,0,15,61,0,0,86,0
110,Bobby,Mitchell,North Carolina,C,23,76,311,74,Star,Draft,HighestOffer,TeamPrestige,ChampionshipContender,27,68,68,77,42,26,30,41,29,72,28,43,52,25,26,56,57,91,27,76,39,39,93,48,26,42,68,30,48,0,85,47,47,81,66,44,46,65,40,30,77,87,28,90,38,25,17,11,37,29,14,28,34,48,45,80,39,68,77,76,836,TRUE,0,0,0,0,0,0,0,0,0,0,16,35,0,0,58,0
293,Mike,Johnston,Michigan,RT,22,77,319,74,Star,Draft,WarmWeatherState,SchemeFit,HeadCoachHistoricRecord,33,75,74,73,36,40,47,31,28,76,32,30,51,25,43,53,56,83,33,77,47,48,95,32,40,36,75,24,36,0,78,26,34,68,69,43,28,69,44,45,76,83,28,88,35,26,27,30,26,46,22,37,21,35,25,79,34,80,81,82,2046,TRUE,0,0,0,0,0,0,0,0,0,0,17,34,0,0,80,0
213,Chris,Medlock,Georgia,MLB,22,72,249,72,Superstar,Draft,BigMarket,MentoratPosition,CloseToHome,85,82,82,88,27,26,24,73,44,76,27,66,53,25,39,48,76,80,85,72,60,46,88,46,26,27,82,40,57,0,44,38,66,34,41,43,81,91,25,29,30,72,35,83,25,17,23,10,82,43,13,35,34,66,38,85,29,44,28,48,1460,TRUE,0,0,0,0,0,0,0,0,0,0,18,63,0,0,84,0
435,Greg,Spencer,Michigan State,WR,21,73,199,73,Superstar,Draft,WarmWeatherState,BigMarket,SchemeFit,30,83,89,93,37,46,36,38,80,70,77,77,73,76,71,53,92,47,30,73,40,83,80,89,46,37,83,76,29,0,37,42,43,39,41,73,34,88,85,73,44,61,57,87,83,13,36,27,44,48,20,31,17,47,65,82,34,24,30,44,3191,TRUE,0,0,0,0,0,0,0,0,0,0,19,50,0,0,87,0
